time,prefix,asID,OriginMatch,IRR,Parent,SameOrg,PC,Depen,Distance
1660860147,192.192.192.0/24,203481,0.0,0.0,0.0,0.0,0.0,0.0,0.9887374620080956
1660995474,195.178.134.0/24,48678,0.0,0.0,0.0,0.0,0.0,0.0,0.9760438354071796
1660995474,195.178.135.0/24,48678,0.0,0.0,0.0,0.0,0.0,0.0,0.9760438354071796
1661157518,139.190.234.0/24,213035,0.0,0.0,0.0,0.0,0.0,0.0,0.990903011503522
1661297393,2403:e040:8000::/33,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9976013112954631
1661297393,2406:840:e666::/47,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9966122141532024
1661297393,2602:fb2a:c0::/42,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9694416241076458
1661297393,2a00:4bc0:2000::/44,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9929079280701264
1661297393,2a00:4bc0:2100::/40,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9929554780985992
1661297393,2a00:e20:143::/48,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9923649933147513
1661297393,2a00:e20:150::/44,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9923157355140912
1661297393,2a04:2f81::/42,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9930592807995912
1661297393,2a04:b902::/32,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9928146539903252
1661297393,2a04:b907::/47,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9928146539903252
1661297393,2a06:a005:4f0::/44,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.969700491045706
1661297393,2a06:e881:650f::/48,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9930828517643936
1661297393,2a06:e881:73ef::/48,7018,0.0,0.0,0.0,0.0,0.0,0.0,0.9930023947842532
1661299636,185.223.79.0/24,26804,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1661442127,81.168.126.0/24,399471,0.0,0.0,0.0,0.0,0.0,0.0,0.9832411320120892
1661617436,193.109.192.0/24,28753,0.0,0.0,0.0,0.0,0.0,0.0,0.6114580891458882
1661771870,103.162.205.0/24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.9954363130911196
1661852595,93.188.155.0/24,31363,0.0,0.0,0.0,0.0,0.0,0.0,0.9671269751479672
1656473118,217.74.20.0/24,9186,0.0,0.0,0.0,0.0,0.0,0.0,0.9670201310492582
1656710982,200.192.106.0/24,3549,0.0,0.0,0.0,0.0,0.0,0.0,0.9691477017416602
1656738825,185.170.43.0/24,30475,0.0,0.0,0.0,0.0,0.0,0.0,0.9942397990100112
1657047039,91.228.14.0/24,7029,0.0,0.0,0.0,0.0,0.0,0.0,0.9925598810101954
1657219643,45.95.113.0/24,213382,0.0,0.0,0.0,0.0,0.0,0.0,0.8502420291426188
1657316781,109.122.205.0/24,26548,0.0,0.0,0.0,0.0,0.0,0.0,0.9916633356830676
1657316781,109.122.209.0/24,26548,0.0,0.0,0.0,0.0,0.0,0.0,0.9942959371822538
1657324623,85.237.208.0/24,207787,0.0,0.0,0.0,0.0,0.0,0.0,0.9932316446164312
1657721964,3.0.0.0/15,7303,0.0,0.0,0.0,0.0,0.0,0.0,0.9917281556559154
1657725165,141.113.192.0/22,35042,0.0,0.0,0.0,0.0,0.0,0.0,0.9697863050114072
1658188716,37.33.0.0/16,12479,0.0,0.0,0.0,0.0,0.0,0.0,0.9815866790235672
1658219600,193.203.48.0/24,15626,0.0,0.0,0.0,0.0,0.0,0.0,0.9383377149350922
1658244856,198.0.0.0/16,262374,0.0,0.0,0.0,0.0,0.0,0.0,0.9899633832932326
1658362672,2605:f440::/32,923,0.0,0.0,0.0,0.0,0.0,0.0,0.9671543699288594
1658756054,172.100.0.0/15,6697,0.0,0.0,0.0,0.0,0.0,0.0,0.9940600828415213
1659430007,193.233.240.0/22,48678,0.0,0.0,0.0,0.0,0.0,0.0,0.965987676543714
1640967833,192.169.212.0/22,212442,0.0,0.0,0.0,0.0,0.0,0.0,0.9948354499693944
1642155466,193.233.176.0/20,136923,0.0,0.0,0.0,0.0,0.0,0.0,0.9943780202628022
1652908094,103.54.100.0/24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.993854024421202
1652908094,103.54.101.0/24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.993854024421202
1647674483,171.22.52.0/22,209961,0.0,0.0,0.0,0.0,0.0,0.0,0.8377069616224612
1649537593,2a01:360::/29,206425,0.0,0.0,0.0,0.0,0.0,0.0,0.6227655520031024
1645380381,198.12.61.0/24,23198,0.0,0.0,0.0,0.0,0.0,0.0,0.9914958778121186
1650475131,185.112.249.0/24,207177,0.0,0.0,0.0,0.0,0.0,0.0,0.9917242913182008
1650475131,188.208.103.0/24,207177,0.0,0.0,0.0,0.0,0.0,0.0,0.9932348876047986
1650475131,193.46.204.0/24,207177,0.0,0.0,0.0,0.0,0.0,0.0,0.9940163400951408
1650475131,193.46.214.0/24,207177,0.0,0.0,0.0,0.0,0.0,0.0,0.9940163400951408
1650475119,194.180.238.0/24,207177,0.0,0.0,0.0,0.0,0.0,0.0,0.9940163400951408
1650475179,195.138.120.0/24,207177,0.0,0.0,0.0,0.0,0.0,0.0,0.9940187751870082
