time,prefix,as_path,as_origin,roa_origin
1657917043,203.130.205.0/24,None,7713,7713
1657917043,203.130.206.0/24,None,7713,7713
1657922252,203.135.30.0/24,None,17557,9557
1657922252,203.135.43.0/24,None,17557,9557
1657922252,203.135.56.0/24,None,17557,9557
1657922290,203.135.57.0/24,None,17557,9557
1657876668,203.150.132.0/24,None,45752,4618
1657908835,203.167.18.0/23,None,9902,9902
1657738318,203.170.192.46/32,None,7568,9891
1657738125,203.202.21.128/27,None,132217,7474
1657921696,205.177.44.0/22,None,3491,198148
1657921696,205.177.224.0/21,None,3491,198148
1657921697,206.161.216.0/21,None,3491,198148
1657921425,206.214.230.0/24,None,36492,14593
1657848455,206.214.238.0/24,None,36492,14593
1657919803,206.246.208.0/22,None,7029,7029
1657919803,206.246.223.0/24,None,7029,7029
1657919803,206.246.240.0/22,None,7029,7029
1657842759,206.248.188.0/22,None,5645,5645
1657738368,206.251.42.0/23,None,19045,19045
1657738169,207.34.120.0/24,None,7861,852
1657738178,207.102.79.0/24,None,398425,852
1657921697,207.176.86.0/24,None,3491,3491
1657738368,207.204.60.0/22,None,19045,19045
1657921697,207.226.144.0/22,None,3491,198148
1657895771,207.228.15.0/24,None,7018,7018
1657876651,207.228.17.0/24,None,7018,7018
1657916377,207.228.39.0/24,None,7018,7018
1657874996,207.228.48.0/21,None,7018,7018
1657873581,207.228.58.0/23,None,7018,7018
1657871495,207.228.60.0/22,None,7018,7018
1657738119,207.232.36.173/32,None,1680,1680
1657910204,208.54.143.0/24,None,21928,22140
1657917458,46.182.108.0/24,None,58073,24875
1657896219,46.199.0.0/21,None,6866,6866
1657741466,46.199.210.138/32,None,6866,6866
1657903100,46.225.96.0/19,None,56402,16322
1657815618,47.19.23.0/24,None,54004,6128
1657775622,47.19.37.0/24,None,54004,6128
1657912127,47.19.128.0/24,None,54004,6128
1657873545,47.19.214.0/24,None,394245,6128
1657866458,47.79.136.0/21,None,6079,134963+45102
1657918185,47.79.184.0/22,None,7029,134963+45102
1657910136,47.79.208.0/21,None,7029,134963+45102
1657916037,47.79.224.0/20,None,1239,134963+45102
1657919499,47.79.248.0/21,None,1239,134963+45102
1657738341,47.88.55.67/32,None,45102,45102
1657738341,47.91.111.158/32,None,45102,45102
1657738341,47.241.95.193/32,None,45102,45102
1657738341,47.252.34.177/32,None,45102,45102
1657738188,49.40.59.0/24,None,38529,55836
1657883458,49.188.0.0/17,None,4804,4804
1657829089,49.193.0.0/17,None,4804,4804
1657919899,49.202.168.0/21,None,55441,45820
1657890596,49.202.208.0/24,None,45820,45820
1657919899,49.202.224.0/22,None,55441,45820
1657916202,49.229.32.0/24,None,45458,132866
1657911387,50.52.0.0/17,None,27017,20055
1657920781,50.62.16.0/22,None,26496,398101
1657895937,50.62.244.0/22,None,398101,398101
1657884894,50.114.57.0/24,None,62240,200482
1657907964,50.117.56.0/24,None,64267,54252
1657878544,50.118.145.0/24,None,64267,54252
1657916067,57.66.0.0/17,None,51964,4004
1657845884,57.77.0.0/18,None,51964,2647
1657738391,57.78.19.0/24,None,51964,4004+6853
1657920704,57.79.0.0/17,None,51964,2874+6853+5583
1657920391,57.79.12.0/24,None,51964,2874+6853+5583
1657899867,57.79.128.0/19,None,51964,2874+6853+5583
1657914272,57.82.36.0/22,None,51964,5583
1657878575,57.82.80.0/23,None,51964,5583
1657825269,57.82.92.0/23,None,51964,5583
1657878575,57.83.96.0/21,None,51964,5583
1657859870,57.86.64.0/20,None,51964,2874
1657738033,58.87.15.136/32,None,38085,9723
1657738323,58.105.253.4/30,None,4804,4804
1657738323,58.105.253.12/30,None,4804,4804
1657738323,58.105.253.52/30,None,4804,4804
1657910288,59.60.6.0/23,None,140330,4809
1657916052,59.144.54.0/24,None,9498,9498
1657916052,59.144.91.0/24,None,9498,9498
1657916052,59.145.114.0/24,None,9498,9498
1657738088,59.154.5.192/27,None,7474,7474
1657738088,59.154.6.192/27,None,7474,7474
1657738130,59.154.75.128/27,None,135897,7474
1657738088,59.154.100.176/30,None,7474,7474
1657738088,59.154.117.80/28,None,7474,7474
1657738088,59.154.117.96/28,None,7474,7474
1657738088,59.154.117.112/28,None,7474,7474
1657738088,59.154.135.3/32,None,7474,7474
1657832504,59.154.135.5/32,None,7474,7474
1657737998,59.154.177.0/28,None,9426,7474
1657737997,59.154.177.32/28,None,9426,7474
1657737998,59.154.177.64/28,None,9426,7474
1657738088,59.154.180.192/26,None,7474,7474
1657737998,59.154.188.128/28,None,9426,7474
1657738091,60.199.130.237/32,None,9924,9924
1657738091,60.199.130.246/32,None,9924,9924
1657738091,60.199.130.249/32,None,9924,9924
1657738091,60.199.130.250/32,None,9924,9924
1657738091,60.199.132.28/32,None,9924,9924
1657738091,60.199.152.0/32,None,9924,9924
1657738091,60.199.152.2/32,None,9924,9924
1657738091,60.199.152.7/32,None,9924,9924
1657738091,60.199.152.12/32,None,9924,9924
1657738091,60.199.152.14/32,None,9924,9924
1657738091,60.199.152.16/32,None,9924,9924
1657738091,60.199.152.17/32,None,9924,9924
1657738091,60.199.152.32/32,None,9924,9924
1657738091,60.199.152.37/32,None,9924,9924
1657738091,60.199.152.39/32,None,9924,9924
1657738091,60.199.152.40/32,None,9924,9924
1657738091,60.199.152.43/32,None,9924,9924
1657738091,60.199.152.54/32,None,9924,9924
1657738091,60.199.152.57/32,None,9924,9924
1657738091,60.199.152.59/32,None,9924,9924
1657738091,60.199.152.79/32,None,9924,9924
1657738091,60.199.152.80/32,None,9924,9924
1657738091,60.199.152.82/32,None,9924,9924
1657738091,60.199.152.117/32,None,9924,9924
1657738091,60.199.152.120/32,None,9924,9924
1657738091,60.199.152.122/32,None,9924,9924
1657738091,60.199.152.123/32,None,9924,9924
1657738091,60.199.152.139/32,None,9924,9924
1657738091,60.199.152.143/32,None,9924,9924
1657738091,60.199.152.149/32,None,9924,9924
1657738091,60.199.152.159/32,None,9924,9924
1657738091,60.199.152.161/32,None,9924,9924
1657738091,60.199.152.186/32,None,9924,9924
1657738091,60.199.152.187/32,None,9924,9924
1657738091,60.199.152.188/32,None,9924,9924
1657738091,60.199.152.189/32,None,9924,9924
1657738091,60.199.152.208/32,None,9924,9924
1657738091,60.199.152.215/32,None,9924,9924
1657738091,60.199.152.224/32,None,9924,9924
1657738091,60.199.152.229/32,None,9924,9924
1657738091,60.199.152.231/32,None,9924,9924
1657738091,60.199.186.242/32,None,9924,9924
1657738091,60.199.221.135/32,None,9924,9924
1657738091,60.199.221.136/32,None,9924,9924
1657738091,60.199.221.144/32,None,9924,9924
1657738091,60.199.221.150/32,None,9924,9924
1657738091,60.199.221.152/32,None,9924,9924
1657738091,60.199.221.153/32,None,9924,9924
1657738091,60.199.221.157/32,None,9924,9924
1657738091,60.199.221.175/32,None,9924,9924
1657738091,60.199.221.176/32,None,9924,9924
1657738091,60.199.221.187/32,None,9924,9924
1657738091,60.199.221.193/32,None,9924,9924
1657738091,60.199.221.199/32,None,9924,9924
1657738091,60.199.221.204/32,None,9924,9924
1657738091,60.199.221.209/32,None,9924,9924
1657738091,60.199.221.210/32,None,9924,9924
1657738091,60.199.221.211/32,None,9924,9924
1657738091,60.199.221.223/32,None,9924,9924
1657738091,60.199.221.227/32,None,9924,9924
1657738091,60.199.221.230/32,None,9924,9924
1657738091,60.199.221.240/32,None,9924,9924
1657738091,60.199.223.149/32,None,9924,9924
1657738091,60.199.223.155/32,None,9924,9924
1657738091,60.199.223.156/32,None,9924,9924
1657738091,60.199.223.169/32,None,9924,9924
1657738091,60.199.223.173/32,None,9924,9924
1657738091,60.199.223.174/32,None,9924,9924
1657738091,60.199.223.177/32,None,9924,9924
1657738091,60.199.223.182/32,None,9924,9924
1657738091,60.199.223.184/32,None,9924,9924
1657738091,60.199.223.190/32,None,9924,9924
1657738119,61.17.72.0/24,None,17908,17908
1657738119,61.17.159.0/24,None,17908,4755
1657738119,61.17.199.0/24,None,17908,4755
1657738191,61.88.1.52/30,None,7474,198949
1657738191,61.88.7.128/32,None,7474,7474
1657738265,61.88.28.88/29,None,18220,7474
1657738146,61.88.145.32/27,None,7474,7474
1657873819,61.95.244.0/24,None,9498,9498
1657922150,61.246.0.0/24,None,24560,9498
1657887544,61.246.201.0/24,None,9498,9498
1657738119,62.0.192.181/32,None,1680,1680
1657921095,62.3.56.0/24,None,211181,210513
1657738318,62.16.78.0/24,None,47253,47253
1657759267,62.25.105.0/24,None,1273,1273
